Category,Year,Labels,Feature,Usage
151-250,2022,learning & development programs,Core_Employee Reports,0
151-250,2022,managing a global multinational business,Core_Employee Reports,0
151-250,2022,performance management & optimization,Core_Employee Reports,0
151-250,2022,reduce legal compliance risks (ciso),Core_Employee Reports,0
151-250,2022,smart & effective workforce planning,Core_Employee Reports,1
151-250,2022,smart compensation management,Core_Employee Reports,1
151-250,2022,support company growth and scale up,Core_Employee Reports,0
151-250,2022,user-friendly platform,Core_Employee Reports,0
151-250,2023,autonomy and independence boost,Core_Employee Reports,1
151-250,2023,culture and diversity,Core_Employee Reports,0
151-250,2023,digital automation - improve operational cost efficiency,Core_Employee Reports,0
151-250,2023,drive data based decisions - people analytics,Core_Employee Reports,0
151-250,2023,employee growth and leadership development,Core_Employee Reports,0
151-250,2023,employee privacy and confidentiality control,Core_Employee Reports,1
151-250,2023,employee satisfaction,Core_Employee Reports,0
151-250,2023,enhance employee communication & engagement,Core_Employee Reports,0
151-250,2023,enhance employee experience,Core_Employee Reports,0
151-250,2023,ensure data integrity - system of record - single source of truth,Core_Employee Reports,0
151-250,2023,improve employee wellbeing and employee safety,Core_Employee Reports,0
151-250,2023,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,0
151-250,2023,improve talent retention,Core_Employee Reports,0
151-250,2023,increase hr productivity & efficiency,Core_Employee Reports,0
151-250,2023,learning & development programs,Core_Employee Reports,0
151-250,2023,managing a global multinational business,Core_Employee Reports,0
151-250,2023,performance management & optimization,Core_Employee Reports,0
151-250,2023,reduce legal compliance risks (ciso),Core_Employee Reports,0
151-250,2023,smart & effective workforce planning,Core_Employee Reports,0
151-250,2023,smart compensation management,Core_Employee Reports,0
151-250,2023,support company growth and scale up,Core_Employee Reports,1
151-250,2023,user-friendly platform,Core_Employee Reports,0
151-250,2024_25,autonomy and independence boost,Core_Employee Reports,1
151-250,2024_25,culture and diversity,Core_Employee Reports,1
151-250,2024_25,digital automation - improve operational cost efficiency,Core_Employee Reports,0
151-250,2024_25,drive data based decisions - people analytics,Core_Employee Reports,0
151-250,2024_25,employee growth and leadership development,Core_Employee Reports,0
151-250,2024_25,employee privacy and confidentiality control,Core_Employee Reports,1
151-250,2024_25,employee satisfaction,Core_Employee Reports,0
151-250,2024_25,enhance employee communication & engagement,Core_Employee Reports,0
151-250,2024_25,enhance employee experience,Core_Employee Reports,0
151-250,2024_25,ensure data integrity - system of record - single source of truth,Core_Employee Reports,1
151-250,2024_25,improve employee wellbeing and employee safety,Core_Employee Reports,0
151-250,2024_25,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,0
151-250,2024_25,improve talent retention,Core_Employee Reports,0
151-250,2024_25,increase hr productivity & efficiency,Core_Employee Reports,0
151-250,2024_25,learning & development programs,Core_Employee Reports,1
151-250,2024_25,managing a global multinational business,Core_Employee Reports,1
151-250,2024_25,performance management & optimization,Core_Employee Reports,1
151-250,2024_25,reduce legal compliance risks (ciso),Core_Employee Reports,0
151-250,2024_25,smart & effective workforce planning,Core_Employee Reports,0
151-250,2024_25,smart compensation management,Core_Employee Reports,0
151-250,2024_25,support company growth and scale up,Core_Employee Reports,0
151-250,2024_25,user-friendly platform,Core_Employee Reports,0
251-500,2021_and_less,autonomy and independence boost,Core_Employee Reports,1
251-500,2021_and_less,culture and diversity,Core_Employee Reports,1
251-500,2021_and_less,digital automation - improve operational cost efficiency,Core_Employee Reports,1
251-500,2021_and_less,drive data based decisions - people analytics,Core_Employee Reports,1
251-500,2021_and_less,employee growth and leadership development,Core_Employee Reports,1
251-500,2021_and_less,employee privacy and confidentiality control,Core_Employee Reports,0
251-500,2021_and_less,employee satisfaction,Core_Employee Reports,1
251-500,2021_and_less,enhance employee communication & engagement,Core_Employee Reports,1
251-500,2021_and_less,enhance employee experience,Core_Employee Reports,0
251-500,2021_and_less,ensure data integrity - system of record - single source of truth,Core_Employee Reports,0
251-500,2021_and_less,improve employee wellbeing and employee safety,Core_Employee Reports,1
251-500,2021_and_less,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,1
251-500,2021_and_less,improve talent retention,Core_Employee Reports,1
251-500,2021_and_less,increase hr productivity & efficiency,Core_Employee Reports,0
251-500,2021_and_less,learning & development programs,Core_Employee Reports,1
251-500,2021_and_less,managing a global multinational business,Core_Employee Reports,1
251-500,2021_and_less,performance management & optimization,Core_Employee Reports,1
251-500,2021_and_less,reduce legal compliance risks (ciso),Core_Employee Reports,0
251-500,2021_and_less,smart & effective workforce planning,Core_Employee Reports,1
251-500,2021_and_less,smart compensation management,Core_Employee Reports,1
251-500,2021_and_less,support company growth and scale up,Core_Employee Reports,0
251-500,2021_and_less,user-friendly platform,Core_Employee Reports,1
251-500,2022,autonomy and independence boost,Core_Employee Reports,1
251-500,2022,culture and diversity,Core_Employee Reports,1
251-500,2022,digital automation - improve operational cost efficiency,Core_Employee Reports,1
251-500,2022,drive data based decisions - people analytics,Core_Employee Reports,1
251-500,2022,employee growth and leadership development,Core_Employee Reports,1
251-500,2022,employee privacy and confidentiality control,Core_Employee Reports,1
251-500,2022,employee satisfaction,Core_Employee Reports,1
251-500,2022,enhance employee communication & engagement,Core_Employee Reports,1
251-500,2022,enhance employee experience,Core_Employee Reports,1
251-500,2022,ensure data integrity - system of record - single source of truth,Core_Employee Reports,1
251-500,2022,improve employee wellbeing and employee safety,Core_Employee Reports,1
251-500,2022,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,1
251-500,2022,improve talent retention,Core_Employee Reports,1
251-500,2022,increase hr productivity & efficiency,Core_Employee Reports,0
251-500,2022,learning & development programs,Core_Employee Reports,1
251-500,2022,managing a global multinational business,Core_Employee Reports,1
251-500,2022,performance management & optimization,Core_Employee Reports,1
251-500,2022,reduce legal compliance risks (ciso),Core_Employee Reports,1
251-500,2022,smart & effective workforce planning,Core_Employee Reports,1
251-500,2022,smart compensation management,Core_Employee Reports,0
251-500,2022,support company growth and scale up,Core_Employee Reports,1
251-500,2022,user-friendly platform,Core_Employee Reports,1
251-500,2023,autonomy and independence boost,Core_Employee Reports,1
251-500,2023,culture and diversity,Core_Employee Reports,1
251-500,2023,digital automation - improve operational cost efficiency,Core_Employee Reports,1
251-500,2023,drive data based decisions - people analytics,Core_Employee Reports,1
251-500,2023,employee growth and leadership development,Core_Employee Reports,1
251-500,2023,employee privacy and confidentiality control,Core_Employee Reports,1
251-500,2023,employee satisfaction,Core_Employee Reports,0
251-500,2023,enhance employee communication & engagement,Core_Employee Reports,1
251-500,2023,enhance employee experience,Core_Employee Reports,0
251-500,2023,ensure data integrity - system of record - single source of truth,Core_Employee Reports,1
251-500,2023,improve employee wellbeing and employee safety,Core_Employee Reports,0
251-500,2023,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,0
251-500,2023,improve talent retention,Core_Employee Reports,0
251-500,2023,increase hr productivity & efficiency,Core_Employee Reports,0
251-500,2023,learning & development programs,Core_Employee Reports,1
251-500,2023,managing a global multinational business,Core_Employee Reports,1
251-500,2023,performance management & optimization,Core_Employee Reports,1
251-500,2023,reduce legal compliance risks (ciso),Core_Employee Reports,1
251-500,2023,smart & effective workforce planning,Core_Employee Reports,1
251-500,2023,smart compensation management,Core_Employee Reports,1
251-500,2023,support company growth and scale up,Core_Employee Reports,0
251-500,2023,user-friendly platform,Core_Employee Reports,1
251-500,2024_25,autonomy and independence boost,Core_Employee Reports,0
251-500,2024_25,culture and diversity,Core_Employee Reports,0
251-500,2024_25,digital automation - improve operational cost efficiency,Core_Employee Reports,1
251-500,2024_25,drive data based decisions - people analytics,Core_Employee Reports,0
251-500,2024_25,employee growth and leadership development,Core_Employee Reports,0
251-500,2024_25,employee privacy and confidentiality control,Core_Employee Reports,0
251-500,2024_25,employee satisfaction,Core_Employee Reports,1
251-500,2024_25,enhance employee communication & engagement,Core_Employee Reports,0
251-500,2024_25,enhance employee experience,Core_Employee Reports,0
251-500,2024_25,ensure data integrity - system of record - single source of truth,Core_Employee Reports,1
251-500,2024_25,improve employee wellbeing and employee safety,Core_Employee Reports,0
251-500,2024_25,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,0
251-500,2024_25,improve talent retention,Core_Employee Reports,0
251-500,2024_25,increase hr productivity & efficiency,Core_Employee Reports,0
251-500,2024_25,learning & development programs,Core_Employee Reports,0
251-500,2024_25,managing a global multinational business,Core_Employee Reports,0
251-500,2024_25,performance management & optimization,Core_Employee Reports,0
251-500,2024_25,reduce legal compliance risks (ciso),Core_Employee Reports,0
251-500,2024_25,smart & effective workforce planning,Core_Employee Reports,0
251-500,2024_25,smart compensation management,Core_Employee Reports,0
251-500,2024_25,support company growth and scale up,Core_Employee Reports,0
251-500,2024_25,user-friendly platform,Core_Employee Reports,0
151-250,2021_and_less,autonomy and independence boost,Core_Analytics,0
151-250,2021_and_less,culture and diversity,Core_Analytics,0
151-250,2021_and_less,digital automation - improve operational cost efficiency,Core_Analytics,0
151-250,2021_and_less,drive data based decisions - people analytics,Core_Analytics,0
151-250,2021_and_less,employee growth and leadership development,Core_Analytics,0
151-250,2021_and_less,employee privacy and confidentiality control,Core_Analytics,1
151-250,2021_and_less,employee satisfaction,Core_Analytics,1
151-250,2021_and_less,enhance employee communication & engagement,Core_Analytics,0
151-250,2021_and_less,enhance employee experience,Core_Analytics,1
151-250,2021_and_less,ensure data integrity - system of record - single source of truth,Core_Analytics,0
151-250,2021_and_less,improve employee wellbeing and employee safety,Core_Analytics,0
151-250,2021_and_less,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
151-250,2021_and_less,improve talent retention,Core_Analytics,0
151-250,2021_and_less,increase hr productivity & efficiency,Core_Analytics,1
151-250,2021_and_less,learning & development programs,Core_Analytics,0
151-250,2021_and_less,managing a global multinational business,Core_Analytics,0
151-250,2021_and_less,performance management & optimization,Core_Analytics,0
151-250,2021_and_less,reduce legal compliance risks (ciso),Core_Analytics,0
151-250,2021_and_less,smart & effective workforce planning,Core_Analytics,0
151-250,2021_and_less,smart compensation management,Core_Analytics,0
151-250,2021_and_less,support company growth and scale up,Core_Analytics,0
151-250,2021_and_less,user-friendly platform,Core_Analytics,0
151-250,2022,autonomy and independence boost,Core_Analytics,0
151-250,2022,culture and diversity,Core_Analytics,0
151-250,2022,digital automation - improve operational cost efficiency,Core_Analytics,0
151-250,2022,drive data based decisions - people analytics,Core_Analytics,0
151-250,2022,employee growth and leadership development,Core_Analytics,0
151-250,2022,employee privacy and confidentiality control,Core_Analytics,0
151-250,2022,employee satisfaction,Core_Analytics,0
151-250,2022,enhance employee communication & engagement,Core_Analytics,0
151-250,2022,enhance employee experience,Core_Analytics,0
151-250,2022,ensure data integrity - system of record - single source of truth,Core_Analytics,0
151-250,2022,improve employee wellbeing and employee safety,Core_Analytics,0
151-250,2022,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
151-250,2022,improve talent retention,Core_Analytics,0
151-250,2022,increase hr productivity & efficiency,Core_Analytics,0
151-250,2022,learning & development programs,Core_Analytics,0
151-250,2022,managing a global multinational business,Core_Analytics,0
151-250,2022,performance management & optimization,Core_Analytics,0
151-250,2022,reduce legal compliance risks (ciso),Core_Analytics,0
151-250,2022,smart & effective workforce planning,Core_Analytics,0
151-250,2022,smart compensation management,Core_Analytics,0
151-250,2022,support company growth and scale up,Core_Analytics,0
151-250,2022,user-friendly platform,Core_Analytics,0
151-250,2023,autonomy and independence boost,Core_Analytics,0
151-250,2023,culture and diversity,Core_Analytics,0
151-250,2023,digital automation - improve operational cost efficiency,Core_Analytics,0
151-250,2023,drive data based decisions - people analytics,Core_Analytics,0
151-250,2023,employee growth and leadership development,Core_Analytics,0
151-250,2023,employee privacy and confidentiality control,Core_Analytics,0
151-250,2023,employee satisfaction,Core_Analytics,0
151-250,2023,enhance employee communication & engagement,Core_Analytics,0
151-250,2023,enhance employee experience,Core_Analytics,0
151-250,2023,ensure data integrity - system of record - single source of truth,Core_Analytics,0
151-250,2023,improve employee wellbeing and employee safety,Core_Analytics,0
151-250,2023,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
151-250,2023,improve talent retention,Core_Analytics,0
151-250,2023,increase hr productivity & efficiency,Core_Analytics,0
151-250,2023,learning & development programs,Core_Analytics,0
151-250,2023,managing a global multinational business,Core_Analytics,0
151-250,2023,performance management & optimization,Core_Analytics,0
151-250,2023,reduce legal compliance risks (ciso),Core_Analytics,0
151-250,2023,smart & effective workforce planning,Core_Analytics,0
151-250,2023,smart compensation management,Core_Analytics,0
151-250,2023,support company growth and scale up,Core_Analytics,0
151-250,2023,user-friendly platform,Core_Analytics,0
151-250,2024_25,autonomy and independence boost,Core_Analytics,0
151-250,2024_25,culture and diversity,Core_Analytics,0
151-250,2024_25,digital automation - improve operational cost efficiency,Core_Analytics,0
151-250,2024_25,drive data based decisions - people analytics,Core_Analytics,0
151-250,2024_25,employee growth and leadership development,Core_Analytics,0
151-250,2024_25,employee privacy and confidentiality control,Core_Analytics,0
151-250,2024_25,employee satisfaction,Core_Analytics,0
151-250,2024_25,enhance employee communication & engagement,Core_Analytics,0
151-250,2024_25,enhance employee experience,Core_Analytics,0
151-250,2024_25,ensure data integrity - system of record - single source of truth,Core_Analytics,0
151-250,2024_25,improve employee wellbeing and employee safety,Core_Analytics,0
151-250,2024_25,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
151-250,2024_25,improve talent retention,Core_Analytics,0
151-250,2024_25,increase hr productivity & efficiency,Core_Analytics,0
151-250,2024_25,learning & development programs,Core_Analytics,0
151-250,2024_25,managing a global multinational business,Core_Analytics,0
151-250,2024_25,performance management & optimization,Core_Analytics,0
151-250,2024_25,reduce legal compliance risks (ciso),Core_Analytics,0
151-250,2024_25,smart & effective workforce planning,Core_Analytics,0
151-250,2024_25,smart compensation management,Core_Analytics,0
151-250,2024_25,support company growth and scale up,Core_Analytics,0
151-250,2024_25,user-friendly platform,Core_Analytics,0
251-500,2021_and_less,autonomy and independence boost,Core_Analytics,1
251-500,2021_and_less,culture and diversity,Core_Analytics,1
251-500,2021_and_less,digital automation - improve operational cost efficiency,Core_Analytics,0
251-500,2021_and_less,drive data based decisions - people analytics,Core_Analytics,1
251-500,2021_and_less,employee growth and leadership development,Core_Analytics,0
251-500,2021_and_less,employee privacy and confidentiality control,Core_Analytics,0
251-500,2021_and_less,employee satisfaction,Core_Analytics,0
251-500,2021_and_less,enhance employee communication & engagement,Core_Analytics,0
251-500,2021_and_less,enhance employee experience,Core_Analytics,1
251-500,2021_and_less,ensure data integrity - system of record - single source of truth,Core_Analytics,0
251-500,2021_and_less,improve employee wellbeing and employee safety,Core_Analytics,0
251-500,2021_and_less,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
251-500,2021_and_less,improve talent retention,Core_Analytics,0
251-500,2021_and_less,increase hr productivity & efficiency,Core_Analytics,0
251-500,2021_and_less,learning & development programs,Core_Analytics,1
251-500,2021_and_less,managing a global multinational business,Core_Analytics,1
251-500,2021_and_less,performance management & optimization,Core_Analytics,1
251-500,2021_and_less,reduce legal compliance risks (ciso),Core_Analytics,1
251-500,2021_and_less,smart & effective workforce planning,Core_Analytics,0
251-500,2021_and_less,smart compensation management,Core_Analytics,1
251-500,2021_and_less,support company growth and scale up,Core_Analytics,0
251-500,2021_and_less,user-friendly platform,Core_Analytics,1
251-500,2022,autonomy and independence boost,Core_Analytics,0
251-500,2022,culture and diversity,Core_Analytics,1
251-500,2022,digital automation - improve operational cost efficiency,Core_Analytics,1
251-500,2022,drive data based decisions - people analytics,Core_Analytics,1
251-500,2022,employee growth and leadership development,Core_Analytics,0
251-500,2022,employee privacy and confidentiality control,Core_Analytics,0
251-500,2022,employee satisfaction,Core_Analytics,1
251-500,2022,enhance employee communication & engagement,Core_Analytics,0
251-500,2022,enhance employee experience,Core_Analytics,1
251-500,2022,ensure data integrity - system of record - single source of truth,Core_Analytics,0
251-500,2022,improve employee wellbeing and employee safety,Core_Analytics,0
251-500,2022,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
251-500,2022,improve talent retention,Core_Analytics,0
251-500,2022,increase hr productivity & efficiency,Core_Analytics,1
251-500,2022,learning & development programs,Core_Analytics,0
251-500,2022,managing a global multinational business,Core_Analytics,1
251-500,2022,performance management & optimization,Core_Analytics,1
251-500,2022,reduce legal compliance risks (ciso),Core_Analytics,0
251-500,2022,smart & effective workforce planning,Core_Analytics,0
251-500,2022,smart compensation management,Core_Analytics,1
251-500,2022,support company growth and scale up,Core_Analytics,0
251-500,2022,user-friendly platform,Core_Analytics,1
251-500,2023,autonomy and independence boost,Core_Analytics,1
251-500,2023,culture and diversity,Core_Analytics,1
251-500,2023,digital automation - improve operational cost efficiency,Core_Analytics,1
251-500,2023,drive data based decisions - people analytics,Core_Analytics,1
251-500,2023,employee growth and leadership development,Core_Analytics,1
251-500,2023,employee privacy and confidentiality control,Core_Analytics,1
251-500,2023,employee satisfaction,Core_Analytics,1
251-500,2023,enhance employee communication & engagement,Core_Analytics,1
251-500,2023,enhance employee experience,Core_Analytics,1
251-500,2023,ensure data integrity - system of record - single source of truth,Core_Analytics,1
251-500,2023,improve employee wellbeing and employee safety,Core_Analytics,0
251-500,2023,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,0
251-500,2023,improve talent retention,Core_Analytics,1
251-500,2023,increase hr productivity & efficiency,Core_Analytics,1
251-500,2023,learning & development programs,Core_Analytics,1
251-500,2023,managing a global multinational business,Core_Analytics,1
251-500,2023,performance management & optimization,Core_Analytics,1
251-500,2023,reduce legal compliance risks (ciso),Core_Analytics,1
251-500,2023,smart & effective workforce planning,Core_Analytics,1
251-500,2023,smart compensation management,Core_Analytics,1
251-500,2023,support company growth and scale up,Core_Analytics,1
251-500,2023,user-friendly platform,Core_Analytics,1
251-500,2024_25,autonomy and independence boost,Core_Analytics,1
251-500,2024_25,culture and diversity,Core_Analytics,1
251-500,2024_25,digital automation - improve operational cost efficiency,Core_Analytics,0
251-500,2024_25,drive data based decisions - people analytics,Core_Analytics,1
251-500,2024_25,employee growth and leadership development,Core_Analytics,0
251-500,2024_25,employee privacy and confidentiality control,Core_Analytics,1
251-500,2024_25,employee satisfaction,Core_Analytics,0
251-500,2024_25,enhance employee communication & engagement,Core_Analytics,0
251-500,2024_25,enhance employee experience,Core_Analytics,0
251-500,2024_25,ensure data integrity - system of record - single source of truth,Core_Analytics,0
251-500,2024_25,improve employee wellbeing and employee safety,Core_Analytics,0
251-500,2024_25,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Analytics,1
251-500,2024_25,improve talent retention,Core_Analytics,1
251-500,2024_25,increase hr productivity & efficiency,Core_Analytics,0
251-500,2024_25,learning & development programs,Core_Analytics,1
251-500,2024_25,managing a global multinational business,Core_Analytics,1
251-500,2024_25,performance management & optimization,Core_Analytics,1
251-500,2024_25,reduce legal compliance risks (ciso),Core_Analytics,1
251-500,2024_25,smart & effective workforce planning,Core_Analytics,0
251-500,2024_25,smart compensation management,Core_Analytics,0
251-500,2024_25,support company growth and scale up,Core_Analytics,0
251-500,2024_25,user-friendly platform,Core_Analytics,1
151-250,2021_and_less,autonomy and independence boost,Core_Tasks,1
151-250,2021_and_less,culture and diversity,Core_Tasks,1
151-250,2021_and_less,digital automation - improve operational cost efficiency,Core_Tasks,1
151-250,2021_and_less,drive data based decisions - people analytics,Core_Tasks,1
151-250,2021_and_less,employee growth and leadership development,Core_Tasks,1
151-250,2021_and_less,employee privacy and confidentiality control,Core_Tasks,1
151-250,2021_and_less,employee satisfaction,Core_Tasks,0
151-250,2021_and_less,enhance employee communication & engagement,Core_Tasks,0
151-250,2021_and_less,enhance employee experience,Core_Tasks,0
151-250,2021_and_less,ensure data integrity - system of record - single source of truth,Core_Tasks,1
151-250,2021_and_less,improve employee wellbeing and employee safety,Core_Tasks,0
151-250,2021_and_less,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Tasks,0
151-250,2021_and_less,improve talent retention,Core_Tasks,1
151-250,2021_and_less,increase hr productivity & efficiency,Core_Tasks,0
151-250,2021_and_less,learning & development programs,Core_Tasks,1
151-250,2021_and_less,managing a global multinational business,Core_Tasks,1
151-250,2021_and_less,performance management & optimization,Core_Tasks,0
151-250,2021_and_less,reduce legal compliance risks (ciso),Core_Tasks,1
151-250,2021_and_less,smart & effective workforce planning,Core_Tasks,1
151-250,2021_and_less,smart compensation management,Core_Tasks,0
151-250,2021_and_less,support company growth and scale up,Core_Tasks,0
151-250,2021_and_less,user-friendly platform,Core_Tasks,1
151-250,2022,autonomy and independence boost,Core_Tasks,1
151-250,2022,culture and diversity,Core_Tasks,1
151-250,2022,digital automation - improve operational cost efficiency,Core_Tasks,1
151-250,2022,drive data based decisions - people analytics,Core_Tasks,1
151-250,2022,employee growth and leadership development,Core_Tasks,1
151-250,2022,employee privacy and confidentiality control,Core_Tasks,1
151-250,2022,employee satisfaction,Core_Tasks,0
151-250,2022,enhance employee communication & engagement,Core_Tasks,0
151-250,2022,enhance employee experience,Core_Tasks,0
151-250,2022,ensure data integrity - system of record - single source of truth,Core_Tasks,1
151-250,2022,improve employee wellbeing and employee safety,Core_Tasks,1
151-250,2022,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Tasks,0
151-250,2022,improve talent retention,Core_Tasks,1
151-250,2022,increase hr productivity & efficiency,Core_Tasks,0
151-250,2022,learning & development programs,Core_Tasks,1
151-250,2022,managing a global multinational business,Core_Tasks,1
151-250,2022,performance management & optimization,Core_Tasks,1
151-250,2022,reduce legal compliance risks (ciso),Core_Tasks,1
151-250,2022,smart & effective workforce planning,Core_Tasks,1
151-250,2022,smart compensation management,Core_Tasks,0
151-250,2022,support company growth and scale up,Core_Tasks,1
151-250,2022,user-friendly platform,Core_Tasks,1
151-250,2023,autonomy and independence boost,Core_Tasks,0
151-250,2023,culture and diversity,Core_Tasks,0
151-250,2023,digital automation - improve operational cost efficiency,Core_Tasks,0
151-250,2023,drive data based decisions - people analytics,Core_Tasks,0
151-250,2023,employee growth and leadership development,Core_Tasks,0
151-250,2023,employee privacy and confidentiality control,Core_Tasks,0
151-250,2023,employee satisfaction,Core_Tasks,0
151-250,2023,enhance employee communication & engagement,Core_Tasks,0
151-250,2023,enhance employee experience,Core_Tasks,0
151-250,2023,ensure data integrity - system of record - single source of truth,Core_Tasks,0
151-250,2023,improve employee wellbeing and employee safety,Core_Tasks,0
151-250,2023,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Tasks,0
151-250,2023,improve talent retention,Core_Tasks,0
151-250,2023,increase hr productivity & efficiency,Core_Tasks,0
151-250,2023,learning & development programs,Core_Tasks,0
151-250,2023,managing a global multinational business,Core_Tasks,0
151-250,2023,performance management & optimization,Core_Tasks,0
151-250,2023,reduce legal compliance risks (ciso),Core_Tasks,0
151-250,2023,smart & effective workforce planning,Core_Tasks,0
151-250,2023,smart compensation management,Core_Tasks,0
151-250,2023,support company growth and scale up,Core_Tasks,0
151-250,2023,user-friendly platform,Core_Tasks,0
151-250,2024_25,autonomy and independence boost,Core_Tasks,0
151-250,2024_25,culture and diversity,Core_Tasks,0
151-250,2024_25,digital automation - improve operational cost efficiency,Core_Tasks,0
151-250,2024_25,drive data based decisions - people analytics,Core_Tasks,0
151-250,2024_25,employee growth and leadership development,Core_Tasks,0
151-250,2024_25,employee privacy and confidentiality control,Core_Tasks,0
151-250,2024_25,employee satisfaction,Core_Tasks,0
151-250,2024_25,enhance employee communication & engagement,Core_Tasks,0
151-250,2024_25,enhance employee experience,Core_Tasks,0
151-250,2024_25,ensure data integrity - system of record - single source of truth,Core_Tasks,0
151-250,2024_25,improve employee wellbeing and employee safety,Core_Tasks,0
151-250,2024_25,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Tasks,0
151-250,2024_25,improve talent retention,Core_Tasks,1
151-250,2024_25,increase hr productivity & efficiency,Core_Tasks,0
151-250,2024_25,learning & development programs,Core_Tasks,0
151-250,2024_25,managing a global multinational business,Core_Tasks,0
151-250,2024_25,performance management & optimization,Core_Tasks,0
151-250,2024_25,reduce legal compliance risks (ciso),Core_Tasks,0
151-250,2024_25,smart & effective workforce planning,Core_Tasks,0
151-250,2024_25,smart compensation management,Core_Tasks,0
151-250,2024_25,support company growth and scale up,Core_Tasks,0
151-250,2024_25,user-friendly platform,Core_Tasks,0
251-500,2021_and_less,autonomy and independence boost,Core_Tasks,0
251-500,2021_and_less,culture and diversity,Core_Tasks,1
251-500,2021_and_less,digital automation - improve operational cost efficiency,Core_Tasks,1
251-500,2021_and_less,drive data based decisions - people analytics,Core_Tasks,0
251-500,2021_and_less,employee growth and leadership development,Core_Tasks,0
251-500,2021_and_less,employee privacy and confidentiality control,Core_Tasks,1
251-500,2021_and_less,employee satisfaction,Core_Tasks,0
251-500,2021_and_less,enhance employee communication & engagement,Core_Tasks,1
251-500,2021_and_less,enhance employee experience,Core_Tasks,1
251-500,2021_and_less,ensure data integrity - system of record - single source of truth,Core_Tasks,1
251-500,2021_and_less,improve employee wellbeing and employee safety,Core_Tasks,0
251-500,2021_and_less,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Tasks,1
251-500,2021_and_less,improve talent retention,Core_Tasks,1
251-500,2021_and_less,increase hr productivity & efficiency,Core_Tasks,0
